setting,config,seed,acc,ece,nll,brier,weight_entropy,corr_weight_correct,missing_prototype_rate
l6r,uniform,0,0.272408,0.035689,2.86015,0.858162,1.7918,-0.0,0.8333
l6r,joint|blend0.25,0,0.264538,0.071753,2.911318,0.863312,1.6675,0.6192,0.8333
l6r,uniform,1,0.275589,0.033366,2.828327,0.851784,1.7918,-0.0,0.8333
l6r,joint|blend0.25,1,0.273803,0.062946,2.893643,0.856479,1.6675,0.6192,0.8333
l6r,uniform|cal,0,0.130539,0.053559,3.774397,0.965726,1.7918,-0.0,0.8333
l6r,uniform|calsup,0,0.195948,0.055152,3.318592,0.916784,1.7918,-0.0,0.8333
l6r,joint|blend0.25|calsup,0,0.195502,0.058559,3.343191,0.919806,1.6675,0.6192,0.8333
l6r,uniform|cal,1,0.136678,0.056658,3.753558,0.965237,1.7918,-0.0,0.8333
l6r,uniform|calsup,1,0.201752,0.056226,3.297718,0.913604,1.7918,-0.0,0.8333
l6r,joint|blend0.25|calsup,1,0.206831,0.060552,3.30131,0.908844,1.6675,0.6192,0.8333
f60,uniform,0,0.296964,0.071978,2.755167,0.840568,1.7918,0.0,0.0
f60,oracle,0,0.275979,0.097894,2.876417,0.864852,1.7918,0.0,0.0
f60,confidence,0,0.266492,0.12432,2.949057,0.878,1.695,0.0762,0.0
f60,entropy,0,0.294955,0.087831,2.793504,0.844297,1.732,0.0801,0.0
f60,prototype|blend0.5,0,0.281784,0.095946,2.838338,0.860217,1.7916,0.0674,0.0
f60,joint|mask,0,0.262473,0.154123,3.059496,0.894366,1.2208,0.0903,0.0
f60,joint|blend0.25,0,0.293894,0.081407,2.758014,0.843051,1.7545,0.0903,0.0
f60,uniform,1,0.299866,0.063317,2.761122,0.836943,1.7918,0.0,0.0
f60,oracle,1,0.292667,0.06684,2.777609,0.843125,1.7918,0.0,0.0
f60,confidence,1,0.279886,0.127375,2.922098,0.873322,1.695,0.0762,0.0
f60,entropy,1,0.28463,0.114453,2.877564,0.861764,1.732,0.0801,0.0
f60,prototype|blend0.5,1,0.29116,0.091417,2.822443,0.850287,1.7916,0.0674,0.0
f60,joint|mask,1,0.262753,0.148425,3.012778,0.890432,1.2208,0.0903,0.0
f60,joint|blend0.25,1,0.274975,0.104439,2.906682,0.866555,1.7545,0.0903,0.0
f60,uniform,2,0.275868,0.086494,2.854689,0.858557,1.7918,0.0,0.0
f60,oracle,2,0.287644,0.060622,2.792596,0.845261,1.7918,0.0,0.0
f60,confidence,2,0.280221,0.105565,2.880454,0.859629,1.695,0.0762,0.0
f60,entropy,2,0.283681,0.099095,2.833308,0.854538,1.732,0.0801,0.0
f60,prototype|blend0.5,2,0.279216,0.075069,2.842875,0.853706,1.7916,0.0674,0.0
f60,joint|mask,2,0.255497,0.152236,3.083255,0.898823,1.2208,0.0903,0.0
f60,joint|blend0.25,2,0.272798,0.101867,2.890667,0.865824,1.7545,0.0903,0.0
l60,uniform,0,0.106597,0.205503,3.954131,1.021038,1.7918,nan,0.8333
l60,oracle,0,0.094374,0.406587,6.001611,1.200682,0.0,0.5547,0.8333
l60,confidence,0,0.114019,0.195061,3.937078,1.011869,1.7239,0.0953,0.8333
l60,entropy,0,0.11614,0.201615,3.981347,1.016292,1.7647,0.1071,0.8333
l60,prototype|blend0.5,0,0.110727,0.336045,4.52871,1.122247,1.3498,0.5547,0.8333
l60,joint|mask,0,0.101518,0.400878,5.854736,1.195496,0.0,0.5547,0.8333
l60,joint|blend0.25,0,0.119824,0.243337,4.076753,1.042771,1.6675,0.5547,0.8333
l60,uniform,1,0.144547,0.094961,3.580995,0.955317,1.7918,nan,0.8333
l60,oracle,1,0.084384,0.363584,5.573288,1.164425,0.0,0.5547,0.8333
l60,confidence,1,0.131153,0.133671,3.663157,0.973112,1.7239,0.0953,0.8333
